State,Location Code,Education,Gender,Coverage,EmploymentStatus,Marital Status,Renew Offer Type,Vehicle Class,Vehicle Size,Policy,Policy Type,Sales Channel,Months Since Last Claim,Months Since Policy Inception,Income,Total Claim Amount,Monthly Premium Auto,Number of Open Complaints,Number of Policies,Customer Lifetime Value,Response
Nevada,Suburban,High School or Below,M,Basic,Medical Leave,Married,Offer2,Two-Door Car,Medsize,Personal L3,Personal Auto,Call Center,14,7,25049,454.245098,67,0,1,2566.867823,No
California,Suburban,College,M,Basic,Medical Leave,Married,Offer3,SUV,Medsize,Personal L2,Personal Auto,Call Center,12,59,28855,647.442031,101,0,1,3945.241604,No
Oregon,Urban,College,M,Basic,Employed,Married,Offer2,Four-Door Car,Medsize,Personal L2,Personal Auto,Branch,9,1,51148,308.981664,72,0,7,5710.333115,No
California,Suburban,High School or Below,F,Premium,Employed,Married,Offer1,Four-Door Car,Small,Corporate L2,Corporate Auto,Call Center,11,21,66140,484.8,101,0,3,8162.617053,No
Oregon,Suburban,High School or Below,M,Basic,Employed,Single,Offer1,Two-Door Car,Medsize,Personal L2,Personal Auto,Branch,31,21,57749,355.2,74,0,1,2872.051273,No
Washington,Suburban,Bachelor,F,Extended,Disabled,Divorced,Offer4,Four-Door Car,Medsize,Personal L3,Personal Auto,Call Center,8,49,13789,379.2,79,0,1,3041.791561,No
Arizona,Suburban,Bachelor,M,Basic,Medical Leave,Divorced,Offer1,Four-Door Car,Medsize,Personal L3,Personal Auto,Agent,13,3,14072,511.2,71,0,2,24127.50402,Yes
Nevada,Suburban,Bachelor,F,Basic,Unemployed,Single,Offer1,Four-Door Car,Medsize,Corporate L3,Corporate Auto,Branch,4,44,0,554.376763,73,3,1,2450.190996,No
California,Suburban,Bachelor,F,Basic,Disabled,Married,Offer2,Four-Door Car,Medsize,Corporate L2,Corporate Auto,Branch,30,91,17870,439.2,61,0,1,2392.10789,No
Oregon,Suburban,College,M,Basic,Employed,Married,Offer2,Four-Door Car,Large,Personal L3,Personal Auto,Call Center,22,1,97541,389.185006,72,0,3,5802.065978,No
California,Suburban,Bachelor,F,Premium,Unemployed,Single,Offer1,Four-Door Car,Small,Personal L3,Personal Auto,Agent,15,47,0,799.2,111,0,1,3946.372085,No
Washington,Urban,Master,F,Extended,Disabled,Married,Offer1,SUV,Medsize,Corporate L1,Corporate Auto,Branch,33,64,10511,516.237951,139,0,1,5346.916576,No
Arizona,Suburban,College,F,Premium,Employed,Single,Offer1,Four-Door Car,Large,Personal L3,Personal Auto,Call Center,33,54,86584,532.8,111,2,2,12902.56014,No
Oregon,Suburban,Master,F,Extended,Employed,Married,Offer2,Four-Door Car,Small,Personal L3,Personal Auto,Branch,17,44,75690,384,80,1,1,3235.360468,No
Arizona,Suburban,College,M,Basic,Employed,Married,Offer4,Four-Door Car,Small,Personal L2,Personal Auto,Call Center,4,6,23158,322.294043,63,1,1,2454.58354,No
Nevada,Urban,High School or Below,M,Extended,Employed,Married,Offer2,Luxury SUV,Medsize,Corporate L2,Corporate Auto,Agent,1,14,65999,615.927769,237,0,6,18975.45611,No
California,Urban,Bachelor,M,Basic,Unemployed,Married,Offer1,Four-Door Car,Medsize,Personal L3,Personal Auto,Call Center,19,56,0,308.15089,65,0,3,4715.321344,No
Washington,Suburban,Bachelor,M,Basic,Employed,Married,Offer1,Two-Door Car,Small,Corporate L2,Corporate Auto,Agent,28,17,54500,302.4,63,0,6,5018.885233,No
Oregon,Rural,Bachelor,F,Basic,Employed,Married,Offer3,Four-Door Car,Medsize,Corporate L1,Corporate Auto,Web,19,42,37260,15.437681,62,0,8,4932.916345,No
Arizona,Urban,High School or Below,F,Basic,Employed,Married,Offer1,Four-Door Car,Medsize,Personal L1,Personal Auto,Branch,11,40,68987,204.475147,71,0,6,5744.229745,No
California,Suburban,Bachelor,M,Premium,Employed,Married,Offer1,Four-Door Car,Small,Personal L3,Personal Auto,Agent,10,62,42305,561.6,117,0,2,13891.73567,No
Oregon,Suburban,Master,F,Extended,Employed,Married,Offer2,Four-Door Car,Small,Personal L3,Personal Auto,Web,19,86,65706,436.8,91,0,8,7380.976717,No
Oregon,Suburban,Bachelor,M,Extended,Unemployed,Single,Offer3,Two-Door Car,Small,Personal L2,Personal Auto,Agent,7,79,0,648,90,0,1,3090.034104,No
Arizona,Rural,High School or Below,M,Basic,Employed,Divorced,Offer1,Four-Door Car,Medsize,Personal L3,Personal Auto,Call Center,4,15,53243,157.397849,66,2,1,2521.633095,No
Nevada,Suburban,High School or Below,F,Basic,Unemployed,Married,Offer3,Two-Door Car,Medsize,Corporate L3,Corporate Auto,Call Center,7,1,0,484.318536,70,1,1,2652.061785,No
Oregon,Rural,College,F,Basic,Employed,Single,Offer2,Two-Door Car,Medsize,Corporate L3,Corporate Auto,Agent,3,32,50071,18.918935,71,0,1,2771.045031,Yes
California,Suburban,Bachelor,F,Extended,Employed,Married,Offer2,Four-Door Car,Small,Personal L2,Personal Auto,Agent,12,28,60021,882.871945,99,0,1,3939.00637,Yes
Arizona,Suburban,High School or Below,M,Basic,Employed,Married,Offer4,Sports Car,Medsize,Personal L2,Personal Auto,Agent,15,16,43244,494.4,103,0,2,12231.87968,No
Washington,Suburban,College,M,Basic,Employed,Married,Offer2,Four-Door Car,Large,Special L2,Special Auto,Call Center,15,56,92834,292.8,61,0,1,2443.665166,No
Oregon,Rural,Doctor,F,Premium,Disabled,Married,Offer1,SUV,Medsize,Personal L2,Personal Auto,Branch,5,4,10105,0.517753,172,3,3,12819.10289,No
Arizona,Suburban,Bachelor,M,Basic,Unemployed,Single,Offer3,Four-Door Car,Medsize,Personal L3,Personal Auto,Call Center,7,57,0,579.165954,73,3,5,4468.510542,No
Oregon,Suburban,High School or Below,F,Basic,Employed,Single,Offer4,Two-Door Car,Medsize,Personal L2,Personal Auto,Agent,7,10,23218,447.79344,71,0,4,5514.344018,No
California,Suburban,Bachelor,F,Extended,Unemployed,Married,Offer2,Four-Door Car,Medsize,Corporate L2,Corporate Auto,Call Center,11,77,0,529.624084,92,0,1,3343.875326,No
Arizona,Suburban,High School or Below,F,Basic,Unemployed,Married,Offer4,Four-Door Car,Medsize,Personal L2,Personal Auto,Branch,11,56,0,313.023175,62,0,1,2294.478927,No
Oregon,Suburban,College,M,Basic,Employed,Married,Offer1,SUV,Small,Personal L2,Personal Auto,Agent,1,28,24804,593.830288,104,0,2,36707.42639,No
California,Suburban,Bachelor,F,Basic,Employed,Divorced,Offer1,SUV,Medsize,Corporate L1,Corporate Auto,Web,18,95,33190,508.8,106,0,2,33473.34946,Yes
Nevada,Rural,High School or Below,F,Basic,Employed,Married,Offer4,Four-Door Car,Medsize,Special L1,Special Auto,Branch,4,40,36014,173.956072,69,3,2,7983.431709,No
Washington,Suburban,Bachelor,M,Basic,Employed,Single,Offer4,Four-Door Car,Medsize,Personal L3,Personal Auto,Agent,19,44,29834,307.2,64,0,3,4854.745666,No
California,Suburban,Bachelor,M,Premium,Disabled,Married,Offer1,Four-Door Car,Small,Personal L2,Personal Auto,Branch,20,26,16701,831.625979,113,0,1,4293.997319,No
Arizona,Suburban,College,F,Extended,Employed,Divorced,Offer3,Four-Door Car,Small,Corporate L3,Corporate Auto,Call Center,1,53,46623,436.8,91,0,3,7164.395543,No
California,Urban,College,M,Basic,Employed,Married,Offer2,Four-Door Car,Medsize,Special L2,Special Auto,Branch,24,59,64749,302.56519,64,0,2,7619.5158,No
Arizona,Suburban,High School or Below,F,Basic,Unemployed,Married,Offer1,SUV,Small,Personal L2,Personal Auto,Call Center,29,12,0,484.8,101,0,1,3958.002823,No
Oregon,Suburban,High School or Below,F,Extended,Disabled,Divorced,Offer1,SUV,Medsize,Personal L3,Personal Auto,Call Center,34,47,16969,704.768111,124,2,1,4499.493252,No
Oregon,Suburban,Master,F,Premium,Disabled,Divorced,Offer1,Four-Door Car,Medsize,Personal L1,Personal Auto,Agent,4,98,11621,518.4,108,0,1,4059.567414,No
Arizona,Suburban,Bachelor,M,Basic,Retired,Divorced,Offer1,Four-Door Car,Medsize,Personal L1,Personal Auto,Agent,1,36,17622,312,65,1,3,4458.113369,Yes
California,Suburban,Bachelor,F,Premium,Medical Leave,Married,Offer1,Two-Door Car,Small,Personal L3,Personal Auto,Call Center,4,50,11489,504,105,0,6,8110.333139,No
Oregon,Suburban,Bachelor,M,Extended,Unemployed,Single,Offer1,Two-Door Car,Small,Personal L3,Personal Auto,Agent,20,53,0,863.327324,94,0,1,3339.764873,No
California,Rural,High School or Below,F,Basic,Employed,Married,Offer1,SUV,Medsize,Personal L3,Personal Auto,Agent,0,86,66525,104.331355,100,0,2,24261.01777,No
Arizona,Suburban,Bachelor,F,Basic,Unemployed,Single,Offer3,Four-Door Car,Large,Personal L3,Personal Auto,Branch,21,28,0,676.391482,63,0,2,6613.973653,No
Washington,Suburban,College,M,Basic,Employed,Married,Offer3,Four-Door Car,Medsize,Personal L3,Personal Auto,Web,29,71,33663,350.4,73,0,1,2930.693543,No
Oregon,Suburban,College,F,Basic,Employed,Divorced,Offer1,SUV,Medsize,Corporate L3,Corporate Auto,Agent,7,60,22547,537.6,112,0,3,8672.194272,No
Arizona,Urban,High School or Below,F,Extended,Employed,Married,Offer4,Two-Door Car,Small,Personal L3,Personal Auto,Branch,5,65,61486,465.258644,97,0,2,11638.66926,No
Oregon,Suburban,Bachelor,F,Extended,Unemployed,Divorced,Offer1,Two-Door Car,Large,Personal L3,Personal Auto,Call Center,13,20,0,456,95,0,5,6846.150323,Yes
California,Suburban,College,F,Premium,Disabled,Married,Offer3,Four-Door Car,Medsize,Personal L3,Personal Auto,Web,17,0,29879,500.254235,102,0,2,11727.77648,No
Oregon,Rural,High School or Below,M,Basic,Employed,Divorced,Offer4,SUV,Medsize,Personal L3,Personal Auto,Agent,17,12,93011,281.451042,113,0,2,22643.83478,No
Oregon,Rural,Master,M,Basic,Employed,Married,Offer2,Two-Door Car,Large,Personal L2,Personal Auto,Web,29,27,65186,5.434505,65,0,1,2614.474305,No
Oregon,Suburban,Master,M,Basic,Medical Leave,Married,Offer1,Four-Door Car,Medsize,Personal L1,Personal Auto,Agent,1,47,26840,307.2,64,2,1,2451.752695,No
Oregon,Suburban,Bachelor,M,Basic,Unemployed,Single,Offer1,Sports Car,Medsize,Personal L3,Personal Auto,Agent,30,3,0,982.399613,104,1,5,6781.270203,No
Oregon,Suburban,Bachelor,M,Basic,Employed,Divorced,Offer2,Two-Door Car,Medsize,Personal L3,Personal Auto,Branch,5,68,75644,467.803638,65,3,9,4974.801539,Yes
Oregon,Suburban,Bachelor,M,Basic,Employed,Married,Offer2,Four-Door Car,Small,Personal L3,Personal Auto,Branch,27,38,38984,350.4,73,0,2,8591.604933,No
Oregon,Rural,High School or Below,F,Basic,Employed,Single,Offer2,Four-Door Car,Medsize,Personal L1,Personal Auto,Call Center,17,48,71811,29.03416,71,0,6,5592.161392,No
Nevada,Suburban,College,M,Basic,Employed,Married,Offer2,Four-Door Car,Medsize,Personal L1,Personal Auto,Agent,20,33,20961,321.6,67,0,2,8009.472833,No
Washington,Rural,College,M,Extended,Employed,Married,Offer1,Four-Door Car,Medsize,Personal L3,Personal Auto,Agent,6,83,38923,115.728852,99,2,2,11318.08982,No
California,Rural,Bachelor,M,Basic,Employed,Single,Offer2,Luxury Car,Small,Personal L3,Personal Auto,Branch,0,30,61321,427.63121,186,1,2,58166.55351,No
California,Rural,College,F,Extended,Unemployed,Single,Offer3,Two-Door Car,Large,Personal L3,Personal Auto,Branch,20,26,0,25.807685,77,0,2,8025.229358,No
California,Suburban,High School or Below,M,Basic,Employed,Single,Offer2,Four-Door Car,Medsize,Personal L3,Personal Auto,Call Center,23,0,51066,787.993313,74,0,8,5780.182197,Yes
California,Suburban,Doctor,M,Basic,Employed,Married,Offer3,SUV,Medsize,Personal L1,Personal Auto,Branch,12,54,34378,489.6,102,0,1,4118.539113,No
Nevada,Suburban,Master,M,Basic,Employed,Married,Offer2,Four-Door Car,Large,Personal L3,Personal Auto,Call Center,35,15,43072,302.4,63,0,1,2523.07015,No
Oregon,Suburban,College,F,Extended,Disabled,Single,Offer2,Four-Door Car,Small,Personal L3,Personal Auto,Agent,28,69,25222,475.623251,90,0,3,6554.216396,No
Washington,Suburban,High School or Below,M,Basic,Employed,Married,Offer1,Four-Door Car,Medsize,Personal L2,Personal Auto,Call Center,15,32,36765,320.849072,66,1,2,7703.397294,No
California,Suburban,College,M,Extended,Retired,Married,Offer1,Four-Door Car,Medsize,Personal L1,Personal Auto,Agent,28,90,23091,460.8,96,5,5,5926.729379,Yes
California,Urban,Bachelor,F,Basic,Employed,Married,Offer3,Four-Door Car,Medsize,Corporate L2,Corporate Auto,Web,3,79,48269,282.151207,69,3,1,2683.470677,No
Oregon,Suburban,Bachelor,F,Basic,Employed,Divorced,Offer3,Four-Door Car,Medsize,Personal L2,Personal Auto,Branch,13,12,32720,321.6,67,0,1,2695.182419,No
California,Suburban,College,M,Extended,Employed,Married,Offer1,Four-Door Car,Medsize,Personal L3,Personal Auto,Branch,15,60,20396,364.8,76,1,4,6047.02516,Yes
Oregon,Suburban,College,M,Premium,Medical Leave,Married,Offer2,Two-Door Car,Small,Personal L3,Personal Auto,Branch,21,81,21513,679.827592,119,1,2,13171.01282,No
Washington,Suburban,Bachelor,F,Extended,Employed,Married,Offer2,Two-Door Car,Medsize,Corporate L3,Corporate Auto,Call Center,7,3,72540,631.743039,88,0,2,10656.88195,Yes
Oregon,Rural,Bachelor,F,Basic,Employed,Married,Offer1,Four-Door Car,Medsize,Corporate L3,Corporate Auto,Agent,24,84,80744,11.879037,63,0,1,2527.653796,No
Oregon,Suburban,Bachelor,M,Basic,Employed,Married,Offer1,Two-Door Car,Small,Corporate L1,Corporate Auto,Branch,23,88,52822,350.529033,67,0,1,2672.095756,No
California,Suburban,High School or Below,F,Extended,Unemployed,Single,Offer1,Four-Door Car,Medsize,Personal L2,Personal Auto,Agent,8,10,0,863.3947,77,1,9,5313.294035,No
Oregon,Suburban,Bachelor,F,Basic,Employed,Married,Offer1,Four-Door Car,Large,Personal L3,Personal Auto,Branch,2,26,69738,492.127532,74,1,2,20946.19251,No
Arizona,Rural,Master,F,Basic,Medical Leave,Married,Offer1,SUV,Medsize,Personal L3,Personal Auto,Branch,12,18,17780,132.588288,109,0,9,8375.353929,No
California,Suburban,Bachelor,M,Basic,Medical Leave,Married,Offer1,Four-Door Car,Medsize,Personal L2,Personal Auto,Agent,29,11,18107,297.6,62,0,8,4801.661503,No
Arizona,Urban,Bachelor,F,Basic,Employed,Married,Offer3,Four-Door Car,Medsize,Personal L1,Personal Auto,Web,30,87,57740,269.905129,74,3,9,5745.94334,No
Oregon,Suburban,College,M,Extended,Employed,Married,Offer1,Two-Door Car,Small,Personal L2,Personal Auto,Agent,11,60,32627,380.036697,76,0,7,6066.115969,No
California,Suburban,College,F,Basic,Unemployed,Married,Offer1,SUV,Medsize,Personal L3,Personal Auto,Agent,3,65,0,513.6,107,0,3,8002.308333,Yes
California,Suburban,College,M,Basic,Unemployed,Single,Offer1,Four-Door Car,Medsize,Personal L1,Personal Auto,Branch,24,10,0,425.266308,70,0,1,2393.915369,Yes
Oregon,Rural,Bachelor,M,Basic,Employed,Single,Offer3,Two-Door Car,Medsize,Corporate L3,Corporate Auto,Call Center,2,85,65795,49.011099,62,1,3,4762.8179,No
California,Suburban,College,M,Premium,Employed,Married,Offer2,Four-Door Car,Medsize,Personal L3,Personal Auto,Branch,9,18,60475,513.6,107,0,1,4330.38602,Yes
California,Suburban,High School or Below,F,Extended,Unemployed,Single,Offer1,SUV,Medsize,Personal L3,Personal Auto,Web,28,88,0,936,130,0,4,9402.729769,No
Oregon,Rural,Bachelor,F,Extended,Employed,Married,Offer1,Four-Door Car,Small,Personal L3,Personal Auto,Call Center,29,93,41837,142.062768,88,0,9,6966.694527,No
California,Rural,Bachelor,F,Basic,Employed,Married,Offer3,Four-Door Car,Medsize,Personal L1,Personal Auto,Branch,13,34,32303,45.152521,65,0,2,7694.064293,No
Oregon,Suburban,High School or Below,M,Basic,Unemployed,Married,Offer1,SUV,Medsize,Personal L1,Personal Auto,Agent,5,89,0,561.6,117,1,3,8717.561149,No
California,Rural,Bachelor,F,Basic,Employed,Married,Offer1,Two-Door Car,Medsize,Personal L3,Personal Auto,Agent,17,32,40531,30.567357,74,0,9,5928.748528,No
Oregon,Urban,College,M,Basic,Employed,Married,Offer4,Four-Door Car,Medsize,Corporate L1,Corporate Auto,Agent,5,86,79898,271.606799,62,1,1,2452.977288,No
California,Suburban,College,M,Extended,Employed,Married,Offer4,Four-Door Car,Small,Personal L3,Personal Auto,Agent,4,18,56398,408,85,0,7,6701.571657,No
Washington,Suburban,High School or Below,M,Extended,Employed,Divorced,Offer2,Four-Door Car,Small,Corporate L2,Corporate Auto,Web,16,2,35257,470.4,98,1,8,7556.24034,No
Arizona,Suburban,College,M,Basic,Employed,Married,Offer2,SUV,Medsize,Personal L3,Personal Auto,Branch,19,54,27804,784.8,109,0,7,8492.6988,No
Oregon,Suburban,Bachelor,M,Basic,Employed,Single,Offer1,Four-Door Car,Medsize,Personal L3,Personal Auto,Agent,16,32,45506,316.8,66,2,2,7713.494046,No
Washington,Suburban,High School or Below,M,Basic,Employed,Married,Offer4,Four-Door Car,Medsize,Personal L2,Personal Auto,Branch,0,54,65196,396.082036,67,0,2,24084.5352,No
California,Suburban,High School or Below,M,Basic,Unemployed,Married,Offer1,SUV,Medsize,Corporate L2,Corporate Auto,Agent,11,70,0,489.6,102,1,3,7290.069769,No
Oregon,Suburban,High School or Below,M,Extended,Retired,Divorced,Offer2,SUV,Medsize,Personal L3,Personal Auto,Agent,35,90,20993,638.4,133,0,1,4772.943848,Yes
Arizona,Suburban,High School or Below,M,Extended,Employed,Married,Offer2,Two-Door Car,Medsize,Personal L3,Personal Auto,Branch,35,77,37839,465.633954,86,0,9,6806.491395,No
California,Suburban,Bachelor,F,Basic,Employed,Single,Offer3,Two-Door Car,Medsize,Personal L2,Personal Auto,Agent,24,10,92711,368.400146,62,0,1,2469.781334,No
California,Urban,College,F,Extended,Employed,Married,Offer2,Four-Door Car,Medsize,Corporate L2,Corporate Auto,Call Center,10,90,74665,236.902001,78,2,1,3103.923041,No
Washington,Suburban,College,M,Extended,Unemployed,Married,Offer3,Two-Door Car,Medsize,Personal L2,Personal Auto,Web,26,89,0,582.679087,83,0,1,2981.875575,No
California,Rural,Bachelor,M,Basic,Employed,Married,Offer1,Sports Car,Medsize,Personal L3,Personal Auto,Call Center,6,3,46833,64.109663,112,0,9,8902.737595,No
Oregon,Suburban,High School or Below,F,Basic,Employed,Married,Offer3,Two-Door Car,Small,Personal L3,Personal Auto,Branch,17,77,88768,326.4,68,0,7,5499.447223,No
California,Suburban,High School or Below,M,Basic,Employed,Single,Offer3,Luxury SUV,Medsize,Personal L3,Personal Auto,Web,9,77,28262,921.6,192,0,3,15023.59858,No
Nevada,Rural,Bachelor,F,Basic,Employed,Married,Offer1,Four-Door Car,Medsize,Personal L3,Personal Auto,Agent,17,11,33555,101.89645,63,0,1,2509.107875,No
Oregon,Suburban,College,M,Premium,Employed,Divorced,Offer1,Four-Door Car,Medsize,Personal L2,Personal Auto,Call Center,10,27,42780,542.4,113,1,2,31221.7481,No
Oregon,Rural,Master,F,Extended,Employed,Single,Offer2,Four-Door Car,Medsize,Personal L3,Personal Auto,Branch,20,26,58850,143.747794,78,0,1,3133.503432,No
Arizona,Urban,College,M,Extended,Employed,Married,Offer1,Four-Door Car,Medsize,Special L2,Special Auto,Branch,29,37,21880,424.077159,97,0,1,3837.451863,No
Oregon,Suburban,College,M,Basic,Retired,Divorced,Offer2,Four-Door Car,Medsize,Personal L2,Personal Auto,Web,13,43,25251,316.8,66,0,2,11790.49617,Yes
Washington,Rural,Master,F,Basic,Unemployed,Married,Offer2,Four-Door Car,Medsize,Personal L1,Personal Auto,Agent,9,12,0,2.704934,69,0,2,7838.068321,No
Arizona,Suburban,High School or Below,M,Basic,Employed,Married,Offer1,Sports Car,Medsize,Personal L3,Personal Auto,Agent,14,82,24188,523.2,109,0,1,4305.808345,No
Nevada,Rural,Bachelor,F,Basic,Employed,Married,Offer1,Four-Door Car,Medsize,Special L2,Special Auto,Branch,14,8,41611,113.801497,74,0,8,5973.976904,No
Oregon,Urban,Bachelor,F,Basic,Employed,Married,Offer1,Four-Door Car,Medsize,Personal L3,Personal Auto,Call Center,16,35,28406,192.87572,72,1,4,5670.442396,No
Arizona,Suburban,College,M,Premium,Employed,Married,Offer1,Four-Door Car,Small,Personal L3,Personal Auto,Agent,32,99,69833,828.662719,118,0,1,4731.749346,No
Arizona,Suburban,High School or Below,F,Basic,Unemployed,Single,Offer1,Four-Door Car,Small,Corporate L2,Corporate Auto,Web,15,91,0,532.8,74,0,2,8026.379641,No
Arizona,Suburban,High School or Below,M,Basic,Unemployed,Single,Offer1,SUV,Medsize,Personal L3,Personal Auto,Agent,6,1,0,975.107098,117,0,1,4022.963529,No
Oregon,Rural,High School or Below,F,Basic,Employed,Married,Offer1,Sports Car,Medsize,Special L2,Special Auto,Branch,5,83,80536,53.798708,119,0,3,9618.310865,No
Washington,Suburban,College,F,Basic,Unemployed,Single,Offer2,Four-Door Car,Small,Personal L2,Personal Auto,Agent,2,5,0,606.642452,63,0,1,2274.775451,No
Oregon,Urban,College,F,Extended,Employed,Married,Offer4,Four-Door Car,Medsize,Personal L3,Personal Auto,Branch,0,70,97732,289.9122,79,0,2,9552.926922,No
Arizona,Urban,Bachelor,F,Extended,Employed,Single,Offer3,Four-Door Car,Small,Special L3,Special Auto,Branch,20,55,61222,392.604371,89,0,2,10388.55323,No
Oregon,Suburban,College,M,Basic,Unemployed,Single,Offer4,Two-Door Car,Large,Personal L1,Personal Auto,Web,7,20,0,721.242206,74,0,1,2470.121222,No
Arizona,Urban,Master,M,Premium,Employed,Married,Offer1,SUV,Medsize,Personal L2,Personal Auto,Call Center,9,54,50335,456.52385,140,0,1,5619.068508,No
California,Suburban,High School or Below,F,Extended,Unemployed,Single,Offer3,Sports Car,Medsize,Personal L2,Personal Auto,Branch,30,11,0,1087.995426,127,0,6,9047.119209,No
Washington,Suburban,High School or Below,M,Premium,Employed,Married,Offer3,SUV,Medsize,Corporate L3,Corporate Auto,Agent,28,49,63221,806.4,168,0,1,6692.143668,No
Oregon,Suburban,High School or Below,F,Extended,Unemployed,Married,Offer1,Four-Door Car,Large,Personal L1,Personal Auto,Agent,31,34,0,460.8,96,0,1,3731.504584,Yes
Nevada,Urban,Bachelor,M,Extended,Employed,Married,Offer4,Four-Door Car,Medsize,Corporate L2,Corporate Auto,Web,34,30,64495,251.992083,92,0,1,3660.770258,No
California,Suburban,College,F,Basic,Unemployed,Married,Offer1,Four-Door Car,Medsize,Corporate L3,Corporate Auto,Call Center,7,75,0,345.6,72,0,2,7928.829252,No
Arizona,Suburban,Bachelor,F,Basic,Employed,Divorced,Offer1,Two-Door Car,Medsize,Corporate L2,Corporate Auto,Call Center,24,51,28859,321.6,67,3,4,5011.751577,No
Arizona,Rural,High School or Below,F,Extended,Employed,Married,Offer2,Four-Door Car,Medsize,Personal L3,Personal Auto,Web,0,21,77330,99.257608,99,0,3,7988.258292,No
Oregon,Suburban,College,M,Premium,Unemployed,Married,Offer1,Four-Door Car,Large,Corporate L2,Corporate Auto,Branch,3,92,0,504,105,0,1,3885.456401,Yes
Washington,Suburban,Bachelor,M,Basic,Employed,Single,Offer4,Four-Door Car,Small,Personal L2,Personal Auto,Branch,29,65,24495,336,70,0,1,2659.337982,No
Washington,Rural,High School or Below,M,Basic,Employed,Married,Offer2,Sports Car,Medsize,Personal L3,Personal Auto,Agent,29,29,95697,178.006524,107,0,9,8564.768226,Yes
Arizona,Suburban,High School or Below,M,Extended,Disabled,Married,Offer4,SUV,Medsize,Personal L3,Personal Auto,Agent,11,7,26372,604.8,126,0,1,4885.162511,No
Arizona,Rural,Bachelor,F,Extended,Medical Leave,Married,Offer1,SUV,Medsize,Personal L1,Personal Auto,Branch,2,5,17514,8.312729,127,0,3,9753.307106,No
California,Urban,Bachelor,F,Basic,Employed,Single,Offer2,Four-Door Car,Medsize,Personal L3,Personal Auto,Branch,17,90,89270,316.599228,74,0,1,2946.153697,No
California,Suburban,High School or Below,M,Basic,Employed,Married,Offer2,Four-Door Car,Small,Personal L2,Personal Auto,Web,13,55,29757,312,65,0,1,2581.110945,No
Oregon,Rural,College,M,Extended,Employed,Single,Offer3,Four-Door Car,Medsize,Personal L2,Personal Auto,Agent,28,89,51814,56.300724,92,0,1,3517.385764,No
